scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
31,RRC_FAILURE,Cell-43,2025-02-03T09:29:00Z,57.2,0.38,0.7,24,92,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Applied RACH preamble power reconfiguration. RRC success rate improved from 65% to 92% in 225s.
32,RRC_FAILURE,Cell-35,2025-03-15T16:16:00Z,57.3,0.36,0.95,16,56,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Adjusted RACH preamble power from -110dBm to -105dBm. Recovery: RRC success rate restored from 65% to 92% within 114s.
33,RRC_FAILURE,Cell-35,2025-03-09T09:39:00Z,41.2,0.3,0.86,26,33,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion","Triggered RACH preamble power optimization. Fault resolved, RRC success rate normalized in 240s."
34,RRC_FAILURE,Cell-8,2025-11-21T03:47:00Z,26.2,0.18,0.76,15,46,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion","Triggered RACH preamble power optimization. Fault resolved, RRC success rate normalized in 287s."
35,RRC_FAILURE,Cell-17,2025-03-21T15:16:00Z,23.7,0.23,0.78,5,62,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Adjusted RACH preamble power from -110dBm to -105dBm. Recovery: RRC success rate restored from 65% to 92% within 189s.
36,RRC_FAILURE,Cell-17,2025-09-02T23:28:00Z,48.2,0.27,0.73,27,39,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion","Triggered RACH preamble power optimization. Fault resolved, RRC success rate normalized in 101s."
37,RRC_FAILURE,Cell-24,2025-06-07T17:09:00Z,25.1,0.19,0.96,30,25,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Applied RACH preamble power reconfiguration. RRC success rate improved from 65% to 92% in 209s.
38,RRC_FAILURE,Cell-44,2025-03-08T21:06:00Z,51.2,0.37,0.82,24,115,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Applied RACH preamble power reconfiguration. RRC success rate improved from 65% to 92% in 123s.
39,RRC_FAILURE,Cell-11,2025-12-26T05:56:00Z,21.0,0.32,0.8,18,105,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Applied RACH preamble power reconfiguration. RRC success rate improved from 65% to 92% in 264s.
40,RRC_FAILURE,Cell-16,2025-08-12T05:50:00Z,24.3,0.36,0.95,12,45,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion","Triggered RACH preamble power optimization. Fault resolved, RRC success rate normalized in 128s."
41,RRC_FAILURE,Cell-20,2025-05-12T07:14:00Z,46.4,0.22,0.78,7,118,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Adjusted RACH preamble power from -110dBm to -105dBm. Recovery: RRC success rate restored from 65% to 92% within 270s.
42,RRC_FAILURE,Cell-42,2025-10-09T12:43:00Z,33.2,0.11,0.95,13,42,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion","Triggered RACH preamble power optimization. Fault resolved, RRC success rate normalized in 190s."
43,RRC_FAILURE,Cell-3,2025-07-19T19:27:00Z,49.1,0.19,0.88,21,34,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Applied RACH preamble power reconfiguration. RRC success rate improved from 65% to 92% in 87s.
44,RRC_FAILURE,Cell-13,2025-12-22T01:45:00Z,20.1,0.38,0.86,28,114,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion",Applied RACH preamble power reconfiguration. RRC success rate improved from 65% to 92% in 125s.
45,RRC_FAILURE,Cell-13,2025-05-17T13:04:00Z,56.8,0.29,0.89,8,112,"RRC_FAILURE: RRC connection setup failure spike, likely RACH congestion","Triggered RACH preamble power optimization. Fault resolved, RRC success rate normalized in 153s."
